model_name,ndcg_at_10_general,ndcg_at_10_jargon,ndcg_at_10_long_docs,map_score,mrr_score,throughput_docs_per_sec,latency_p50_ms,latency_p95_ms,latency_p99_ms,total_evaluation_time_sec,final_score
BGE-M3,0.42259253094698185,0.0,,0.1527777777777778,0.25,6.664863403217463,14335.413455963135,16674.364948272705,16882.27174758911,88.8453049659729,20.0
BERTimbau-Base,0.17575945781580216,0.0,,0.040625,0.03125,21.98947203193265,4532.618284225464,4650.902843475342,4661.417026519775,31.67035436630249,20.0
